id,stem,category,sub_category,type,options,correct_answer,explanation,rationales,difficulty,references
914,A patient with a new ileostomy reports persistent skin irritation around the stoma. What is the most likely cause?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Improper ostomy pouch application""}, {""id"": ""B"", ""text"": ""Dietary intake of high-fiber foods""}, {""id"": ""C"", ""text"": ""Insufficient fluid intake""}, {""id"": ""D"", ""text"": ""Lack of regular bowel movements""}]","""A""","Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes.","{""A"": ""Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes."", ""B"": ""Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes."", ""C"": ""Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes."", ""D"": ""Skin irritation is most commonly caused by improper ostomy pouch application, leading to leakage of stool and digestive enzymes.""}",1,
915,The nurse just completed wound care for a patient with a methicillin-resistant Staphylococcus aureus (MRSA) infection. What should the nurse do next?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Remove gloves and gown before leaving the room.""}, {""id"": ""B"", ""text"": ""Wash hands thoroughly with soap and water.""}, {""id"": ""C"", ""text"": ""Dispose of all materials in a regular trash can.""}, {""id"": ""D"", ""text"": ""Document the procedure in the patient's chart.""}]","""B""",Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission.,"{""A"": ""Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission."", ""B"": ""Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission."", ""C"": ""Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission."", ""D"": ""Thorough handwashing after contact with an MRSA infection is crucial to prevent transmission.""}",1,
916,A postpartum patient is experiencing heavy vaginal bleeding. Which nursing interventions are appropriate? Select all that apply.,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Massage the fundus.""}, {""id"": ""B"", ""text"": ""Monitor vital signs frequently.""}, {""id"": ""C"", ""text"": ""Administer oxytocin as prescribed.""}, {""id"": ""D"", ""text"": ""Encourage ambulation.""}, {""id"": ""E"", ""text"": ""Assess for bladder distention.""}, {""id"": ""F"", ""text"": ""Monitor urine output.""}]","[""A"", ""B"", ""C"", ""E""]","Postpartum hemorrhage requires prompt interventions to control bleeding.  Fundal massage (A) helps to contract the uterus, reducing blood flow. Frequent vital signs (B) are essential to monitor for shock. Oxytocin (C) is commonly used to stimulate uterine contractions. A distended bladder (E) can impede uterine contraction, so assessment is vital.  While monitoring urine output (F) is important for overall hydration, it isn’t a direct intervention for immediate postpartum hemorrhage management. Encouraging ambulation (D) is appropriate in many cases, but the priority is controlling the bleeding first.","{""A"": ""Postpartum hemorrhage requires prompt interventions to control bleeding.  Fundal massage (A) helps to contract the uterus, reducing blood flow. Frequent vital signs (B) are essential to monitor for shock. Oxytocin (C) is commonly used to stimulate uterine contractions. A distended bladder (E) can impede uterine contraction, so assessment is vital.  While monitoring urine output (F) is important for overall hydration, it isn’t a direct intervention for immediate postpartum hemorrhage management. Encouraging ambulation (D) is appropriate in many cases, but the priority is controlling the bleeding first."", ""B"": ""Postpartum hemorrhage requires prompt interventions to control bleeding.  Fundal massage (A) helps to contract the uterus, reducing blood flow. Frequent vital signs (B) are essential to monitor for shock. Oxytocin (C) is commonly used to stimulate uterine contractions. A distended bladder (E) can impede uterine contraction, so assessment is vital.  While monitoring urine output (F) is important for overall hydration, it isn’t a direct intervention for immediate postpartum hemorrhage management. Encouraging ambulation (D) is appropriate in many cases, but the priority is controlling the bleeding first."", ""C"": ""Postpartum hemorrhage requires prompt interventions to control bleeding.  Fundal massage (A) helps to contract the uterus, reducing blood flow. Frequent vital signs (B) are essential to monitor for shock. Oxytocin (C) is commonly used to stimulate uterine contractions. A distended bladder (E) can impede uterine contraction, so assessment is vital.  While monitoring urine output (F) is important for overall hydration, it isn’t a direct intervention for immediate postpartum hemorrhage management. Encouraging ambulation (D) is appropriate in many cases, but the priority is controlling the bleeding first."", ""D"": ""Postpartum hemorrhage requires prompt interventions to control bleeding.  Fundal massage (A) helps to contract the uterus, reducing blood flow. Frequent vital signs (B) are essential to monitor for shock. Oxytocin (C) is commonly used to stimulate uterine contractions. A distended bladder (E) can impede uterine contraction, so assessment is vital.  While monitoring urine output (F) is important for overall hydration, it isn’t a direct intervention for immediate postpartum hemorrhage management. Encouraging ambulation (D) is appropriate in many cases, but the priority is controlling the bleeding first."", ""E"": ""Postpartum hemorrhage requires prompt interventions to control bleeding.  Fundal massage (A) helps to contract the uterus, reducing blood flow. Frequent vital signs (B) are essential to monitor for shock. Oxytocin (C) is commonly used to stimulate uterine contractions. A distended bladder (E) can impede uterine contraction, so assessment is vital.  While monitoring urine output (F) is important for overall hydration, it isn’t a direct intervention for immediate postpartum hemorrhage management. Encouraging ambulation (D) is appropriate in many cases, but the priority is controlling the bleeding first."", ""F"": ""Postpartum hemorrhage requires prompt interventions to control bleeding.  Fundal massage (A) helps to contract the uterus, reducing blood flow. Frequent vital signs (B) are essential to monitor for shock. Oxytocin (C) is commonly used to stimulate uterine contractions. A distended bladder (E) can impede uterine contraction, so assessment is vital.  While monitoring urine output (F) is important for overall hydration, it isn’t a direct intervention for immediate postpartum hemorrhage management. Encouraging ambulation (D) is appropriate in many cases, but the priority is controlling the bleeding first.""}",2,
917,Which individual is at highest risk for developing influenza?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""A 30-year-old healthy adult""}, {""id"": ""B"", ""text"": ""A 6-month-old infant""}, {""id"": ""C"", ""text"": ""A 45-year-old with well-controlled hypertension""}, {""id"": ""D"", ""text"": ""A 25-year-old with a mild allergy to penicillin""}]","""B""",Infants under 6 months are at high risk of severe complications from influenza due to an underdeveloped immune system.,"{""A"": ""Infants under 6 months are at high risk of severe complications from influenza due to an underdeveloped immune system."", ""B"": ""Infants under 6 months are at high risk of severe complications from influenza due to an underdeveloped immune system."", ""C"": ""Infants under 6 months are at high risk of severe complications from influenza due to an underdeveloped immune system."", ""D"": ""Infants under 6 months are at high risk of severe complications from influenza due to an underdeveloped immune system.""}",2,
918,A patient is receiving oxygen therapy via nasal cannula. Which action should the nurse take to ensure patient safety?,safe-and-effective-care,,multiple-choice,"[{""id"": ""A"", ""text"": ""Place the oxygen tank near a heat source.""}, {""id"": ""B"", ""text"": ""Check the oxygen flow rate regularly.""}, {""id"": ""C"", ""text"": ""Allow the patient to smoke while receiving oxygen.""}, {""id"": ""D"", ""text"": ""Use petroleum jelly to lubricate the cannula.""}]","""B""",Regular monitoring of the oxygen flow rate ensures the patient receives the prescribed amount of oxygen.  The other options are unsafe practices.,"{""A"": ""Regular monitoring of the oxygen flow rate ensures the patient receives the prescribed amount of oxygen.  The other options are unsafe practices."", ""B"": ""Regular monitoring of the oxygen flow rate ensures the patient receives the prescribed amount of oxygen.  The other options are unsafe practices."", ""C"": ""Regular monitoring of the oxygen flow rate ensures the patient receives the prescribed amount of oxygen.  The other options are unsafe practices."", ""D"": ""Regular monitoring of the oxygen flow rate ensures the patient receives the prescribed amount of oxygen.  The other options are unsafe practices.""}",1,
919,A patient with systemic lupus erythematosus (SLE) reports new joint pain and swelling. What is the most appropriate initial nursing action?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administer prescribed NSAIDs.""}, {""id"": ""B"", ""text"": ""Assess the patient's pain level and joints.""}, {""id"": ""C"", ""text"": ""Apply warm compresses to the affected joints.""}, {""id"": ""D"", ""text"": ""Encourage the patient to increase physical activity.""}]","""B""","A thorough assessment of the pain and affected joints is crucial before initiating any treatment. While NSAIDs may be prescribed, assessment guides the intervention and determines if additional actions are required.","{""A"": ""A thorough assessment of the pain and affected joints is crucial before initiating any treatment. While NSAIDs may be prescribed, assessment guides the intervention and determines if additional actions are required."", ""B"": ""A thorough assessment of the pain and affected joints is crucial before initiating any treatment. While NSAIDs may be prescribed, assessment guides the intervention and determines if additional actions are required."", ""C"": ""A thorough assessment of the pain and affected joints is crucial before initiating any treatment. While NSAIDs may be prescribed, assessment guides the intervention and determines if additional actions are required."", ""D"": ""A thorough assessment of the pain and affected joints is crucial before initiating any treatment. While NSAIDs may be prescribed, assessment guides the intervention and determines if additional actions are required.""}",2,
920,Which nursing interventions are appropriate for a patient experiencing chemotherapy-induced nausea and vomiting (CINV)? Select all that apply.,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Administer antiemetics as prescribed.""}, {""id"": ""B"", ""text"": ""Encourage clear liquid intake.""}, {""id"": ""C"", ""text"": ""Restrict dietary intake during severe nausea.""}, {""id"": ""D"", ""text"": ""Offer bland, low-fat foods.""}, {""id"": ""E"", ""text"": ""Assess for dehydration.""}, {""id"": ""F"", ""text"": ""Encourage ambulation.""}]","[""A"", ""C"", ""D"", ""E""]","Anti-emetics (A) are essential for managing CINV.  Restricting intake (C) during severe nausea prevents further vomiting. Bland, low-fat foods (D) are better tolerated. Assessing for dehydration (E) is crucial. Encouraging ambulation (F) may not be appropriate if severe nausea and vomiting are present.  Clear liquids (B) may worsen nausea for some patients.","{""A"": ""Anti-emetics (A) are essential for managing CINV.  Restricting intake (C) during severe nausea prevents further vomiting. Bland, low-fat foods (D) are better tolerated. Assessing for dehydration (E) is crucial. Encouraging ambulation (F) may not be appropriate if severe nausea and vomiting are present.  Clear liquids (B) may worsen nausea for some patients."", ""B"": ""Anti-emetics (A) are essential for managing CINV.  Restricting intake (C) during severe nausea prevents further vomiting. Bland, low-fat foods (D) are better tolerated. Assessing for dehydration (E) is crucial. Encouraging ambulation (F) may not be appropriate if severe nausea and vomiting are present.  Clear liquids (B) may worsen nausea for some patients."", ""C"": ""Anti-emetics (A) are essential for managing CINV.  Restricting intake (C) during severe nausea prevents further vomiting. Bland, low-fat foods (D) are better tolerated. Assessing for dehydration (E) is crucial. Encouraging ambulation (F) may not be appropriate if severe nausea and vomiting are present.  Clear liquids (B) may worsen nausea for some patients."", ""D"": ""Anti-emetics (A) are essential for managing CINV.  Restricting intake (C) during severe nausea prevents further vomiting. Bland, low-fat foods (D) are better tolerated. Assessing for dehydration (E) is crucial. Encouraging ambulation (F) may not be appropriate if severe nausea and vomiting are present.  Clear liquids (B) may worsen nausea for some patients."", ""E"": ""Anti-emetics (A) are essential for managing CINV.  Restricting intake (C) during severe nausea prevents further vomiting. Bland, low-fat foods (D) are better tolerated. Assessing for dehydration (E) is crucial. Encouraging ambulation (F) may not be appropriate if severe nausea and vomiting are present.  Clear liquids (B) may worsen nausea for some patients."", ""F"": ""Anti-emetics (A) are essential for managing CINV.  Restricting intake (C) during severe nausea prevents further vomiting. Bland, low-fat foods (D) are better tolerated. Assessing for dehydration (E) is crucial. Encouraging ambulation (F) may not be appropriate if severe nausea and vomiting are present.  Clear liquids (B) may worsen nausea for some patients.""}",3,
921,A patient is prescribed digoxin. Which assessment finding requires immediate intervention?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Heart rate of 60 beats per minute.""}, {""id"": ""B"", ""text"": ""Potassium level of 3.0 mEq/L.""}, {""id"": ""C"", ""text"": ""Blood pressure of 120/80 mmHg.""}, {""id"": ""D"", ""text"": ""Urine output of 100 mL/hour.""}]","""B""",Hypokalemia (low potassium) increases the risk of digoxin toxicity.  A potassium level of 3.0 mEq/L is significantly low and requires immediate intervention.,"{""A"": ""Hypokalemia (low potassium) increases the risk of digoxin toxicity.  A potassium level of 3.0 mEq/L is significantly low and requires immediate intervention."", ""B"": ""Hypokalemia (low potassium) increases the risk of digoxin toxicity.  A potassium level of 3.0 mEq/L is significantly low and requires immediate intervention."", ""C"": ""Hypokalemia (low potassium) increases the risk of digoxin toxicity.  A potassium level of 3.0 mEq/L is significantly low and requires immediate intervention."", ""D"": ""Hypokalemia (low potassium) increases the risk of digoxin toxicity.  A potassium level of 3.0 mEq/L is significantly low and requires immediate intervention.""}",3,
922,Which finding indicates a potential complication following a colonoscopy?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Passing flatus""}, {""id"": ""B"", ""text"": ""Mild abdominal cramping""}, {""id"": ""C"", ""text"": ""Rectal bleeding""}, {""id"": ""D"", ""text"": ""Mild nausea""}]","""C""",Rectal bleeding following a colonoscopy suggests a potential perforation or other complication that requires immediate investigation.,"{""A"": ""Rectal bleeding following a colonoscopy suggests a potential perforation or other complication that requires immediate investigation."", ""B"": ""Rectal bleeding following a colonoscopy suggests a potential perforation or other complication that requires immediate investigation."", ""C"": ""Rectal bleeding following a colonoscopy suggests a potential perforation or other complication that requires immediate investigation."", ""D"": ""Rectal bleeding following a colonoscopy suggests a potential perforation or other complication that requires immediate investigation.""}",2,
923,"Following a cardiac catheterization, the patient reports severe chest pain and shortness of breath.  What is the nurse's priority action?",physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administer oxygen via nasal cannula.""}, {""id"": ""B"", ""text"": ""Assess the catheter insertion site for bleeding and hematoma formation.""}, {""id"": ""C"", ""text"": ""Check the patient's blood pressure and heart rate.""}, {""id"": ""D"", ""text"": ""Notify the physician immediately.""}]","""D""","Severe chest pain and shortness of breath post-cardiac catheterization strongly suggest a serious complication, such as cardiac tamponade or coronary artery dissection. Immediate physician notification is crucial for prompt intervention and potentially life-saving treatment. While A, B, and C are appropriate nursing actions, they are secondary to immediately alerting the physician of this potentially life-threatening situation. Delaying notification to perform these assessments could worsen the patient's condition.","{""A"": ""Severe chest pain and shortness of breath post-cardiac catheterization strongly suggest a serious complication, such as cardiac tamponade or coronary artery dissection. Immediate physician notification is crucial for prompt intervention and potentially life-saving treatment. While A, B, and C are appropriate nursing actions, they are secondary to immediately alerting the physician of this potentially life-threatening situation. Delaying notification to perform these assessments could worsen the patient's condition."", ""B"": ""Severe chest pain and shortness of breath post-cardiac catheterization strongly suggest a serious complication, such as cardiac tamponade or coronary artery dissection. Immediate physician notification is crucial for prompt intervention and potentially life-saving treatment. While A, B, and C are appropriate nursing actions, they are secondary to immediately alerting the physician of this potentially life-threatening situation. Delaying notification to perform these assessments could worsen the patient's condition."", ""C"": ""Severe chest pain and shortness of breath post-cardiac catheterization strongly suggest a serious complication, such as cardiac tamponade or coronary artery dissection. Immediate physician notification is crucial for prompt intervention and potentially life-saving treatment. While A, B, and C are appropriate nursing actions, they are secondary to immediately alerting the physician of this potentially life-threatening situation. Delaying notification to perform these assessments could worsen the patient's condition."", ""D"": ""Severe chest pain and shortness of breath post-cardiac catheterization strongly suggest a serious complication, such as cardiac tamponade or coronary artery dissection. Immediate physician notification is crucial for prompt intervention and potentially life-saving treatment. While A, B, and C are appropriate nursing actions, they are secondary to immediately alerting the physician of this potentially life-threatening situation. Delaying notification to perform these assessments could worsen the patient's condition.""}",2,
924,A patient with a new diagnosis of COPD presents with a PaO2 of 55 mmHg and PaCO2 of 60 mmHg. Select all appropriate nursing interventions.,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Initiate oxygen therapy at 2 L/min via nasal cannula.""}, {""id"": ""B"", ""text"": ""Encourage pursed-lip breathing exercises.""}, {""id"": ""C"", ""text"": ""Administer bronchodilators as prescribed.""}, {""id"": ""D"", ""text"": ""Monitor for signs of respiratory distress.""}, {""id"": ""E"", ""text"": ""Position the patient in high-Fowler's position.""}, {""id"": ""F"", ""text"": ""Restrict fluids to prevent fluid overload.""}]","[""B"", ""C"", ""D"", ""E""]","A PaO2 of 55 mmHg and PaCO2 of 60 mmHg indicate hypoxemia and hypercapnia, characteristic of worsening COPD.  B, C, D, and E are all appropriate interventions to address these issues. Pursed-lip breathing helps slow expiration and improve gas exchange (B). Bronchodilators open airways, improving ventilation (C). Monitoring for respiratory distress is crucial to catch worsening hypoxemia (D). High-Fowler's facilitates breathing by reducing diaphragmatic pressure (E).  A is incorrect; high oxygen flow in COPD patients with chronic hypercapnia can suppress their respiratory drive. F is incorrect; fluid restriction is not typically indicated in COPD unless there is evidence of heart failure.","{""A"": ""A PaO2 of 55 mmHg and PaCO2 of 60 mmHg indicate hypoxemia and hypercapnia, characteristic of worsening COPD.  B, C, D, and E are all appropriate interventions to address these issues. Pursed-lip breathing helps slow expiration and improve gas exchange (B). Bronchodilators open airways, improving ventilation (C). Monitoring for respiratory distress is crucial to catch worsening hypoxemia (D). High-Fowler's facilitates breathing by reducing diaphragmatic pressure (E).  A is incorrect; high oxygen flow in COPD patients with chronic hypercapnia can suppress their respiratory drive. F is incorrect; fluid restriction is not typically indicated in COPD unless there is evidence of heart failure."", ""B"": ""A PaO2 of 55 mmHg and PaCO2 of 60 mmHg indicate hypoxemia and hypercapnia, characteristic of worsening COPD.  B, C, D, and E are all appropriate interventions to address these issues. Pursed-lip breathing helps slow expiration and improve gas exchange (B). Bronchodilators open airways, improving ventilation (C). Monitoring for respiratory distress is crucial to catch worsening hypoxemia (D). High-Fowler's facilitates breathing by reducing diaphragmatic pressure (E).  A is incorrect; high oxygen flow in COPD patients with chronic hypercapnia can suppress their respiratory drive. F is incorrect; fluid restriction is not typically indicated in COPD unless there is evidence of heart failure."", ""C"": ""A PaO2 of 55 mmHg and PaCO2 of 60 mmHg indicate hypoxemia and hypercapnia, characteristic of worsening COPD.  B, C, D, and E are all appropriate interventions to address these issues. Pursed-lip breathing helps slow expiration and improve gas exchange (B). Bronchodilators open airways, improving ventilation (C). Monitoring for respiratory distress is crucial to catch worsening hypoxemia (D). High-Fowler's facilitates breathing by reducing diaphragmatic pressure (E).  A is incorrect; high oxygen flow in COPD patients with chronic hypercapnia can suppress their respiratory drive. F is incorrect; fluid restriction is not typically indicated in COPD unless there is evidence of heart failure."", ""D"": ""A PaO2 of 55 mmHg and PaCO2 of 60 mmHg indicate hypoxemia and hypercapnia, characteristic of worsening COPD.  B, C, D, and E are all appropriate interventions to address these issues. Pursed-lip breathing helps slow expiration and improve gas exchange (B). Bronchodilators open airways, improving ventilation (C). Monitoring for respiratory distress is crucial to catch worsening hypoxemia (D). High-Fowler's facilitates breathing by reducing diaphragmatic pressure (E).  A is incorrect; high oxygen flow in COPD patients with chronic hypercapnia can suppress their respiratory drive. F is incorrect; fluid restriction is not typically indicated in COPD unless there is evidence of heart failure."", ""E"": ""A PaO2 of 55 mmHg and PaCO2 of 60 mmHg indicate hypoxemia and hypercapnia, characteristic of worsening COPD.  B, C, D, and E are all appropriate interventions to address these issues. Pursed-lip breathing helps slow expiration and improve gas exchange (B). Bronchodilators open airways, improving ventilation (C). Monitoring for respiratory distress is crucial to catch worsening hypoxemia (D). High-Fowler's facilitates breathing by reducing diaphragmatic pressure (E).  A is incorrect; high oxygen flow in COPD patients with chronic hypercapnia can suppress their respiratory drive. F is incorrect; fluid restriction is not typically indicated in COPD unless there is evidence of heart failure."", ""F"": ""A PaO2 of 55 mmHg and PaCO2 of 60 mmHg indicate hypoxemia and hypercapnia, characteristic of worsening COPD.  B, C, D, and E are all appropriate interventions to address these issues. Pursed-lip breathing helps slow expiration and improve gas exchange (B). Bronchodilators open airways, improving ventilation (C). Monitoring for respiratory distress is crucial to catch worsening hypoxemia (D). High-Fowler's facilitates breathing by reducing diaphragmatic pressure (E).  A is incorrect; high oxygen flow in COPD patients with chronic hypercapnia can suppress their respiratory drive. F is incorrect; fluid restriction is not typically indicated in COPD unless there is evidence of heart failure.""}",3,
925,Potassium level is 5.8 mEq/L. Which of the following nursing interventions is MOST important?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Monitor cardiac rhythm.""}, {""id"": ""B"", ""text"": ""Encourage increased fluid intake.""}, {""id"": ""C"", ""text"": ""Administer Kayexalate as ordered.""}, {""id"": ""D"", ""text"": ""Restrict potassium-rich foods.""}]","""A""","Hyperkalemia (potassium level >5.0 mEq/L) can cause life-threatening cardiac dysrhythmias.  Therefore, continuous cardiac monitoring (A) is the priority. While B, C, and D are also appropriate interventions for managing hyperkalemia, they are secondary to monitoring the patient's cardiac status and preventing potential lethal arrhythmias.","{""A"": ""Hyperkalemia (potassium level >5.0 mEq/L) can cause life-threatening cardiac dysrhythmias.  Therefore, continuous cardiac monitoring (A) is the priority. While B, C, and D are also appropriate interventions for managing hyperkalemia, they are secondary to monitoring the patient's cardiac status and preventing potential lethal arrhythmias."", ""B"": ""Hyperkalemia (potassium level >5.0 mEq/L) can cause life-threatening cardiac dysrhythmias.  Therefore, continuous cardiac monitoring (A) is the priority. While B, C, and D are also appropriate interventions for managing hyperkalemia, they are secondary to monitoring the patient's cardiac status and preventing potential lethal arrhythmias."", ""C"": ""Hyperkalemia (potassium level >5.0 mEq/L) can cause life-threatening cardiac dysrhythmias.  Therefore, continuous cardiac monitoring (A) is the priority. While B, C, and D are also appropriate interventions for managing hyperkalemia, they are secondary to monitoring the patient's cardiac status and preventing potential lethal arrhythmias."", ""D"": ""Hyperkalemia (potassium level >5.0 mEq/L) can cause life-threatening cardiac dysrhythmias.  Therefore, continuous cardiac monitoring (A) is the priority. While B, C, and D are also appropriate interventions for managing hyperkalemia, they are secondary to monitoring the patient's cardiac status and preventing potential lethal arrhythmias.""}",2,
926,"""My chest feels tight, and I'm short of breath,"" reports a 78-year-old patient with a history of heart failure.  Which assessment findings warrant immediate attention?",physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Blood pressure of 90/50 mmHg.""}, {""id"": ""B"", ""text"": ""Respiratory rate of 28 breaths/minute.""}, {""id"": ""C"", ""text"": ""Oxygen saturation of 92% on room air.""}, {""id"": ""D"", ""text"": ""Heart rate of 110 beats/minute.""}, {""id"": ""E"", ""text"": ""Presence of crackles in the lung bases.""}, {""id"": ""F"", ""text"": ""Slight edema in the ankles.""}]","[""A"", ""B"", ""D"", ""E""]","The patient's statement, coupled with A, B, D, and E, suggest acute decompensation of heart failure. Hypotension (A), tachypnea (B), tachycardia (D), and crackles (E) all indicate compromised cardiac output and fluid overload in the lungs.  While C is slightly below the ideal range, it's not as immediately critical as the other findings.  F (ankle edema) is a common chronic finding in heart failure but doesn't indicate an immediate acute exacerbation.","{""A"": ""The patient's statement, coupled with A, B, D, and E, suggest acute decompensation of heart failure. Hypotension (A), tachypnea (B), tachycardia (D), and crackles (E) all indicate compromised cardiac output and fluid overload in the lungs.  While C is slightly below the ideal range, it's not as immediately critical as the other findings.  F (ankle edema) is a common chronic finding in heart failure but doesn't indicate an immediate acute exacerbation."", ""B"": ""The patient's statement, coupled with A, B, D, and E, suggest acute decompensation of heart failure. Hypotension (A), tachypnea (B), tachycardia (D), and crackles (E) all indicate compromised cardiac output and fluid overload in the lungs.  While C is slightly below the ideal range, it's not as immediately critical as the other findings.  F (ankle edema) is a common chronic finding in heart failure but doesn't indicate an immediate acute exacerbation."", ""C"": ""The patient's statement, coupled with A, B, D, and E, suggest acute decompensation of heart failure. Hypotension (A), tachypnea (B), tachycardia (D), and crackles (E) all indicate compromised cardiac output and fluid overload in the lungs.  While C is slightly below the ideal range, it's not as immediately critical as the other findings.  F (ankle edema) is a common chronic finding in heart failure but doesn't indicate an immediate acute exacerbation."", ""D"": ""The patient's statement, coupled with A, B, D, and E, suggest acute decompensation of heart failure. Hypotension (A), tachypnea (B), tachycardia (D), and crackles (E) all indicate compromised cardiac output and fluid overload in the lungs.  While C is slightly below the ideal range, it's not as immediately critical as the other findings.  F (ankle edema) is a common chronic finding in heart failure but doesn't indicate an immediate acute exacerbation."", ""E"": ""The patient's statement, coupled with A, B, D, and E, suggest acute decompensation of heart failure. Hypotension (A), tachypnea (B), tachycardia (D), and crackles (E) all indicate compromised cardiac output and fluid overload in the lungs.  While C is slightly below the ideal range, it's not as immediately critical as the other findings.  F (ankle edema) is a common chronic finding in heart failure but doesn't indicate an immediate acute exacerbation."", ""F"": ""The patient's statement, coupled with A, B, D, and E, suggest acute decompensation of heart failure. Hypotension (A), tachypnea (B), tachycardia (D), and crackles (E) all indicate compromised cardiac output and fluid overload in the lungs.  While C is slightly below the ideal range, it's not as immediately critical as the other findings.  F (ankle edema) is a common chronic finding in heart failure but doesn't indicate an immediate acute exacerbation.""}",3,
927,"A patient diagnosed with schizophrenia states, ""The voices are telling me to hurt myself.""  What is the nurse's priority action?",psychosocial-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Document the patient's statement in the chart.""}, {""id"": ""B"", ""text"": ""Assess the patient's risk for self-harm.""}, {""id"": ""C"", ""text"": ""Administer prescribed antipsychotic medication.""}, {""id"": ""D"", ""text"": ""Encourage the patient to participate in group therapy.""}]","""B""","The patient's statement indicates an immediate risk of self-harm. The nurse's priority is to assess the patient's risk (B), including the patient's plan, means, and intent.  While A, C, and D are important aspects of care, they are secondary to ensuring the patient's safety.","{""A"": ""The patient's statement indicates an immediate risk of self-harm. The nurse's priority is to assess the patient's risk (B), including the patient's plan, means, and intent.  While A, C, and D are important aspects of care, they are secondary to ensuring the patient's safety."", ""B"": ""The patient's statement indicates an immediate risk of self-harm. The nurse's priority is to assess the patient's risk (B), including the patient's plan, means, and intent.  While A, C, and D are important aspects of care, they are secondary to ensuring the patient's safety."", ""C"": ""The patient's statement indicates an immediate risk of self-harm. The nurse's priority is to assess the patient's risk (B), including the patient's plan, means, and intent.  While A, C, and D are important aspects of care, they are secondary to ensuring the patient's safety."", ""D"": ""The patient's statement indicates an immediate risk of self-harm. The nurse's priority is to assess the patient's risk (B), including the patient's plan, means, and intent.  While A, C, and D are important aspects of care, they are secondary to ensuring the patient's safety.""}",2,
928,A patient is receiving morphine sulfate for post-operative pain. Which assessment finding requires immediate intervention?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Respiratory rate of 10 breaths per minute.""}, {""id"": ""B"", ""text"": ""Blood pressure of 110/70 mmHg.""}, {""id"": ""C"", ""text"": ""Heart rate of 80 beats per minute.""}, {""id"": ""D"", ""text"": ""Pain rated 3/10 on a numerical scale.""}]","""A""","A respiratory rate of 10 breaths per minute indicates respiratory depression, a serious side effect of opioid analgesics like morphine.  Immediate intervention is required, such as administering naloxone or reducing the morphine dose.","{""A"": ""A respiratory rate of 10 breaths per minute indicates respiratory depression, a serious side effect of opioid analgesics like morphine.  Immediate intervention is required, such as administering naloxone or reducing the morphine dose."", ""B"": ""A respiratory rate of 10 breaths per minute indicates respiratory depression, a serious side effect of opioid analgesics like morphine.  Immediate intervention is required, such as administering naloxone or reducing the morphine dose."", ""C"": ""A respiratory rate of 10 breaths per minute indicates respiratory depression, a serious side effect of opioid analgesics like morphine.  Immediate intervention is required, such as administering naloxone or reducing the morphine dose."", ""D"": ""A respiratory rate of 10 breaths per minute indicates respiratory depression, a serious side effect of opioid analgesics like morphine.  Immediate intervention is required, such as administering naloxone or reducing the morphine dose.""}",2,
929,The nurse just completed a dressing change on a patient with a draining wound.  What is the appropriate disposal method for the soiled dressing?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Discard in a regular trash can.""}, {""id"": ""B"", ""text"": ""Discard in a biohazard waste container.""}, {""id"": ""C"", ""text"": ""Discard in a linen hamper.""}, {""id"": ""D"", ""text"": ""Discard in a sharps container.""}]","""B""",Soiled dressings from a draining wound are considered contaminated and should be discarded in a biohazard waste container (B) to prevent the spread of infection.,"{""A"": ""Soiled dressings from a draining wound are considered contaminated and should be discarded in a biohazard waste container (B) to prevent the spread of infection."", ""B"": ""Soiled dressings from a draining wound are considered contaminated and should be discarded in a biohazard waste container (B) to prevent the spread of infection."", ""C"": ""Soiled dressings from a draining wound are considered contaminated and should be discarded in a biohazard waste container (B) to prevent the spread of infection."", ""D"": ""Soiled dressings from a draining wound are considered contaminated and should be discarded in a biohazard waste container (B) to prevent the spread of infection.""}",1,
